130215-0.0,Source of report of B25 (cytomegaloviral disease)
130217-0.0,Source of report of B26 (mumps)
130219-0.0,Source of report of B27 (infectious mononucleosis)
130221-0.0,Source of report of B30 (viral conjunctivitis)
130223-0.0,"Source of report of B33 (other viral diseases, not elsewhere classified)"
130225-0.0,Source of report of B34 (viral infection of unspecified site)
130227-0.0,Source of report of B35 (dermatophytosis)
130229-0.0,Source of report of B36 (other superficial mycoses)
130231-0.0,Source of report of B37 (candidiasis)
130233-0.0,Source of report of B38 (coccidioidomycosis)
130235-0.0,Source of report of B39 (histoplasmosis)
130237-0.0,Source of report of B40 (blastomycosis)
130241-0.0,Source of report of B42 (sporotrichosis)
130243-0.0,Source of report of B43 (chromomycosis and phaeomycotic abscess)
130245-0.0,Source of report of B44 (aspergillosis)
130247-0.0,Source of report of B45 (cryptococcosis)
130249-0.0,Source of report of B46 (zygomycosis)
130251-0.0,Source of report of B47 (mycetoma)
130253-0.0,"Source of report of B48 (other mycoses, not elsewhere classified)"
130255-0.0,Source of report of B49 (unspecified mycosis)
130257-0.0,Source of report of B50 (plasmodium falciparum malaria)
130259-0.0,Source of report of B51 (plasmodium vivax malaria)
130261-0.0,Source of report of B52 (plasmodium malariae malaria)
130263-0.0,Source of report of B53 (other parasitologically confirmed malaria)
130265-0.0,Source of report of B54 (unspecified malaria)
130267-0.0,Source of report of B55 (leishmaniasis)
130271-0.0,Source of report of B57 (chagas' disease)
130273-0.0,Source of report of B58 (toxoplasmosis)
130275-0.0,Source of report of B59 (pneumocystosis)
130277-0.0,"Source of report of B60 (other protozoal diseases, not elsewhere classified)"
130281-0.0,Source of report of B65 (schistosomiasis [bilharziasis])
130283-0.0,Source of report of B66 (other fluke infections)
130285-0.0,Source of report of B67 (echinococcosis)
130287-0.0,Source of report of B68 (taeniasis)
130289-0.0,Source of report of B69 (cysticercosis)
130293-0.0,Source of report of B71 (other cestode infections)
130297-0.0,Source of report of B73 (onchocerciasis)
130299-0.0,Source of report of B74 (filariasis)
130301-0.0,Source of report of B75 (trichinellosis)
130303-0.0,Source of report of B76 (hookworm diseases)
130305-0.0,Source of report of B77 (ascariasis)
130307-0.0,Source of report of B78 (strongyloidiasis)
130309-0.0,Source of report of B79 (trichuriasis)
130311-0.0,Source of report of B80 (enterobiasis)
130313-0.0,"Source of report of B81 (other intestinal helminthiases, not elsewhere classified)"
130315-0.0,Source of report of B82 (unspecified intestinal parasitism)
130317-0.0,Source of report of B83 (other helminthiases)
130319-0.0,Source of report of B85 (pediculosis and phthiriasis)
130321-0.0,Source of report of B86 (scabies)
130323-0.0,Source of report of B87 (myiasis)
130325-0.0,Source of report of B88 (other infestations)
130327-0.0,Source of report of B89 (unspecified parasitic disease)
130329-0.0,Source of report of B90 (sequelae of tuberculosis)
130331-0.0,Source of report of B91 (sequelae of poliomyelitis)
130335-0.0,Source of report of B94 (sequelae of other and unspecified infectious and parasitic diseases)
130337-0.0,Source of report of B95 (streptococcus and staphylococcus as the cause of diseases classified to other chapters)
130339-0.0,Source of report of B96 (other bacterial agents as the cause of diseases classified to other chapters)
130341-0.0,Source of report of B97 (viral agents as the cause of diseases classified to other chapters)
130343-0.0,Source of report of B98 (other specified infectious agents as the cause of diseases classified to other chapters)
130345-0.0,Source of report of B99 (other and unspecified infectious diseases)
130623-0.0,Source of report of D50 (iron deficiency anaemia)
130625-0.0,Source of report of D51 (vitamin b12 deficiency anaemia)
130627-0.0,Source of report of D52 (folate deficiency anaemia)
130629-0.0,Source of report of D53 (other nutritional anaemias)
130631-0.0,Source of report of D55 (anaemia due to enzyme disorders)
130633-0.0,Source of report of D56 (thalassaemia)
130635-0.0,Source of report of D57 (sickle-cell disorders)
130637-0.0,Source of report of D58 (other hereditary haemolytic anaemias)
130639-0.0,Source of report of D59 (acquired haemolytic anaemia)
130641-0.0,Source of report of D60 (acquired pure red cell aplasia [erythroblastopenia])
130643-0.0,Source of report of D61 (other aplastic anaemias)
130645-0.0,Source of report of D62 (acute posthaemorrhagic anaemia)
130647-0.0,Source of report of D63 (anaemia in chronic diseases classified elsewhere)
130649-0.0,Source of report of D64 (other anaemias)
130651-0.0,Source of report of D65 (disseminated intravascular coagulation [defibrination syndrome])
130653-0.0,Source of report of D66 (hereditary factor viii deficiency)
130655-0.0,Source of report of D67 (hereditary factor ix deficiency)
130657-0.0,Source of report of D68 (other coagulation defects)
130659-0.0,Source of report of D69 (purpura and other haemorrhagic conditions)
130661-0.0,Source of report of D70 (agranulocytosis)
130663-0.0,Source of report of D71 (functional disorders of polymorphonuclear neutrophils)
130665-0.0,Source of report of D72 (other disorders of white blood cells)
130667-0.0,Source of report of D73 (diseases of spleen)
130669-0.0,Source of report of D74 (methaemoglobinaemia)
130671-0.0,Source of report of D75 (other diseases of blood and blood-forming organs)
130673-0.0,Source of report of D76 (certain diseases involving lymphoreticular tissue and reticulohistiocytic system)
130675-0.0,Source of report of D77 (other disorders of blood and blood-forming organs in diseases classified elsewhere)
130677-0.0,Source of report of D80 (immunodeficiency with predominantly antibody defects)
130679-0.0,Source of report of D81 (combined immunodeficiencies)
130681-0.0,Source of report of D82 (immunodeficiency associated with other major defects)
130683-0.0,Source of report of D83 (common variable immunodeficiency)
130685-0.0,Source of report of D84 (other immunodeficiencies)
130687-0.0,Source of report of D86 (sarcoidosis)
130689-0.0,"Source of report of D89 (other disorders involving the immune mechanism, not elsewhere classified)"
130693-0.0,Source of report of E01 (iodine-deficiency-related thyroid disorders and allied conditions)
130695-0.0,Source of report of E02 (subclinical iodine-deficiency hypothyroidism)
130697-0.0,Source of report of E03 (other hypothyroidism)
130699-0.0,Source of report of E04 (other non-toxic goitre)
130701-0.0,Source of report of E05 (thyrotoxicosis [hyperthyroidism])
130703-0.0,Source of report of E06 (thyroiditis)
130705-0.0,Source of report of E07 (other disorders of thyroid)
130707-0.0,Source of report of E10 (insulin-dependent diabetes mellitus)
130709-0.0,Source of report of E11 (non-insulin-dependent diabetes mellitus)
130711-0.0,Source of report of E12 (malnutrition-related diabetes mellitus)
130713-0.0,Source of report of E13 (other specified diabetes mellitus)
130715-0.0,Source of report of E14 (unspecified diabetes mellitus)
130717-0.0,Source of report of E15 (nondiabetic hypoglycaemic coma)
130719-0.0,Source of report of E16 (other disorders of pancreatic internal secretion)
130721-0.0,Source of report of E20 (hypoparathyroidism)
130723-0.0,Source of report of E21 (hyperparathyroidism and other disorders of parathyroid gland)
130725-0.0,Source of report of E22 (hyperfunction of pituitary gland)
130727-0.0,Source of report of E23 (hypofunction and other disorders of pituitary gland)
130729-0.0,Source of report of E24 (cushing's syndrome)
130731-0.0,Source of report of E25 (adrenogenital disorders)
130733-0.0,Source of report of E26 (hyperaldosteronism)
130735-0.0,Source of report of E27 (other disorders of adrenal gland)
130737-0.0,Source of report of E28 (ovarian dysfunction)
130739-0.0,Source of report of E29 (testicular dysfunction)
130741-0.0,"Source of report of E30 (disorders of puberty, not elsewhere classified)"
130743-0.0,Source of report of E31 (polyglandular dysfunction)
130745-0.0,Source of report of E32 (diseases of thymus)
130747-0.0,Source of report of E34 (other endocrine disorders)
130749-0.0,Source of report of E35 (disorders of endocrine glands in diseases classified elsewhere)
130753-0.0,Source of report of E41 (nutritional marasmus)
130757-0.0,Source of report of E43 (unspecified severe protein-energy malnutrition)
130759-0.0,Source of report of E44 (protein-energy malnutrition of moderate and mild degree)
130761-0.0,Source of report of E45 (retarded development following protein-energy malnutrition)
130763-0.0,Source of report of E46 (unspecified protein-energy malnutrition)
130765-0.0,Source of report of E50 (vitamin a deficiency)
130767-0.0,Source of report of E51 (thiamine deficiency)
130769-0.0,Source of report of E52 (niacin deficiency [pellagra])
130771-0.0,Source of report of E53 (deficiency of other b group vitamins)
130773-0.0,Source of report of E54 (ascorbic acid deficiency)
130775-0.0,Source of report of E55 (vitamin d deficiency)
130777-0.0,Source of report of E56 (other vitamin deficiencies)
130779-0.0,Source of report of E58 (dietary calcium deficiency)
130781-0.0,Source of report of E59 (dietary selenium deficiency)
130783-0.0,Source of report of E60 (dietary zinc deficiency)
130785-0.0,Source of report of E61 (deficiency of other nutrient elements)
130787-0.0,Source of report of E63 (other nutritional deficiencies)
130789-0.0,Source of report of E64 (sequelae of malnutrition and other nutritional deficiencies)
130791-0.0,Source of report of E65 (localised adiposity)
130793-0.0,Source of report of E66 (obesity)
130795-0.0,Source of report of E67 (other hyperalimentation)
130797-0.0,Source of report of E68 (sequelae of hyperalimentation)
130799-0.0,Source of report of E70 (disorders of aromatic amino-acid metabolism)
130801-0.0,Source of report of E71 (disorders of branched-chain amino-acid metabolism and fatty-acid metabolism)
130803-0.0,Source of report of E72 (other disorders of amino-acid metabolism)
130805-0.0,Source of report of E73 (lactose intolerance)
130807-0.0,Source of report of E74 (other disorders of carbohydrate metabolism)
130809-0.0,Source of report of E75 (disorders of sphingolipid metabolism and other lipid storage disorders)
130811-0.0,Source of report of E76 (disorders of glycosaminoglycan metabolism)
130813-0.0,Source of report of E77 (disorders of glycoprotein metabolism)
130815-0.0,Source of report of E78 (disorders of lipoprotein metabolism and other lipidaemias)
130817-0.0,Source of report of E79 (disorders of purine and pyrimidine metabolism)
130819-0.0,Source of report of E80 (disorders of porphyrin and bilirubin metabolism)
130821-0.0,Source of report of E83 (disorders of mineral metabolism)
130823-0.0,Source of report of E84 (cystic fibrosis)
130825-0.0,Source of report of E85 (amyloidosis)
130827-0.0,Source of report of E86 (volume depletion)
130829-0.0,"Source of report of E87 (other disorders of fluid, electrolyte and acid-base balance)"
130831-0.0,Source of report of E88 (other metabolic disorders)
130833-0.0,"Source of report of E89 (postprocedural endocrine and metabolic disorders, not elsewhere classified)"
130837-0.0,Source of report of F00 (dementia in alzheimer's disease)
130839-0.0,Source of report of F01 (vascular dementia)
130841-0.0,Source of report of F02 (dementia in other diseases classified elsewhere)
130843-0.0,Source of report of F03 (unspecified dementia)
130845-0.0,"Source of report of F04 (organic amnesic syndrome, not induced by alcohol and other psychoactive substances)"
130847-0.0,"Source of report of F05 (delirium, not induced by alcohol and other psychoactive substances)"
130849-0.0,Source of report of F06 (other mental disorders due to brain damage and dysfunction and to physical disease)
130851-0.0,"Source of report of F07 (personality and behavioural disorders due to brain disease, damage and dysfunction)"
130853-0.0,Source of report of F09 (unspecified organic or symptomatic mental disorder)
130855-0.0,Source of report of F10 (mental and behavioural disorders due to use of alcohol)
130857-0.0,Source of report of F11 (mental and behavioural disorders due to use of opioids)
130859-0.0,Source of report of F12 (mental and behavioural disorders due to use of cannabinoids)
130861-0.0,Source of report of F13 (mental and behavioural disorders due to use of sedatives or hypnotics)
130863-0.0,Source of report of F14 (mental and behavioural disorders due to use of cocaine)
130865-0.0,"Source of report of F15 (mental and behavioural disorders due to use of other stimulants, including caffeine)"
130867-0.0,Source of report of F16 (mental and behavioural disorders due to use of hallucinogens)
130869-0.0,Source of report of F17 (mental and behavioural disorders due to use of tobacco)
130871-0.0,Source of report of F18 (mental and behavioural disorders due to use of volatile solvents)
130873-0.0,Source of report of F19 (mental and behavioural disorders due to multiple drug use and use of other psychoactive substances)
130875-0.0,Source of report of F20 (schizophrenia)
130877-0.0,Source of report of F21 (schizotypal disorder)
130879-0.0,Source of report of F22 (persistent delusional disorders)
130881-0.0,Source of report of F23 (acute and transient psychotic disorders)
130883-0.0,Source of report of F24 (induced delusional disorder)
130885-0.0,Source of report of F25 (schizoaffective disorders)
130887-0.0,Source of report of F28 (other nonorganic psychotic disorders)
130889-0.0,Source of report of F29 (unspecified nonorganic psychosis)
130891-0.0,Source of report of F30 (manic episode)
130893-0.0,Source of report of F31 (bipolar affective disorder)
130895-0.0,Source of report of F32 (depressive episode)
130897-0.0,Source of report of F33 (recurrent depressive disorder)
130899-0.0,Source of report of F34 (persistent mood [affective] disorders)
130901-0.0,Source of report of F38 (other mood [affective] disorders)
130903-0.0,Source of report of F39 (unspecified mood [affective] disorder)
130905-0.0,Source of report of F40 (phobic anxiety disorders)
130907-0.0,Source of report of F41 (other anxiety disorders)
130909-0.0,Source of report of F42 (obsessive-compulsive disorder)
130911-0.0,"Source of report of F43 (reaction to severe stress, and adjustment disorders)"
130913-0.0,Source of report of F44 (dissociative [conversion] disorders)
130915-0.0,Source of report of F45 (somatoform disorders)
130917-0.0,Source of report of F48 (other neurotic disorders)
130919-0.0,Source of report of F50 (eating disorders)
130921-0.0,Source of report of F51 (nonorganic sleep disorders)
130923-0.0,"Source of report of F52 (sexual dysfunction, not caused by organic disorder or disease)"
130925-0.0,"Source of report of F53 (mental and behavioural disorders associated with the puerperium, not elsewhere classified)"
130927-0.0,Source of report of F54 (psychological and behavioural factors associated with disorders or diseases classified elsewhere)
130929-0.0,Source of report of F55 (abuse of non-dependence-producing substances)
130931-0.0,Source of report of F59 (unspecified behavioural syndromes associated with physiological disturbances and physical factors)
130933-0.0,Source of report of F60 (specific personality disorders)
130935-0.0,Source of report of F61 (mixed and other personality disorders)
130937-0.0,"Source of report of F62 (enduring personality changes, not attributable to brain damage and disease)"
130939-0.0,Source of report of F63 (habit and impulse disorders)
130941-0.0,Source of report of F64 (gender identity disorders)
130943-0.0,Source of report of F65 (disorders of sexual preference)
130945-0.0,Source of report of F66 (psychological and behavioural disorders associated with sexual development and orientation)
130947-0.0,Source of report of F68 (other disorders of adult personality and behaviour)
130949-0.0,Source of report of F69 (unspecified disorder of adult personality and behaviour)
130951-0.0,Source of report of F70 (mild mental retardation)
130953-0.0,Source of report of F71 (moderate mental retardation)
130955-0.0,Source of report of F72 (severe mental retardation)
130959-0.0,Source of report of F78 (other mental retardation)
130961-0.0,Source of report of F79 (unspecified mental retardation)
130963-0.0,Source of report of F80 (specific developmental disorders of speech and language)
130965-0.0,Source of report of F81 (specific developmental disorders of scholastic skills)
130967-0.0,Source of report of F82 (specific developmental disorder of motor function)
130969-0.0,Source of report of F83 (mixed specific developmental disorders)
130971-0.0,Source of report of F84 (pervasive developmental disorders)
130973-0.0,Source of report of F88 (other disorders of psychological development)
130975-0.0,Source of report of F89 (unspecified disorder of psychological development)
130977-0.0,Source of report of F90 (hyperkinetic disorders)
130979-0.0,Source of report of F91 (conduct disorders)
130981-0.0,Source of report of F92 (mixed disorders of conduct and emotions)
130983-0.0,Source of report of F93 (emotional disorders with onset specific to childhood)
130985-0.0,Source of report of F94 (disorders of social functioning with onset specific to childhood and adolescence)
130987-0.0,Source of report of F95 (tic disorders)
130989-0.0,Source of report of F98 (other behavioural and emotional disorders with onset usually occurring in childhood and adolescence)
130991-0.0,"Source of report of F99 (mental disorder, not otherwise specified)"
130993-0.0,"Source of report of G00 (bacterial meningitis, not elsewhere classified)"
130995-0.0,Source of report of G01 (meningitis in bacterial diseases classified elsewhere)
130997-0.0,Source of report of G02 (meningitis in other infectious and parasitic diseases classified elsewhere)
130999-0.0,Source of report of G03 (meningitis due to other and unspecified causes)
131001-0.0,"Source of report of G04 (encephalitis, myelitis and encephalomyelitis)"
131003-0.0,"Source of report of G05 (encephalitis, myelitis and encephalomyelitis in diseases classified elsewhere)"
131005-0.0,Source of report of G06 (intracranial and intraspinal abscess and granuloma)
131007-0.0,Source of report of G07 (intracranial and intraspinal abscess and granuloma in diseases classified elsewhere)
131009-0.0,Source of report of G08 (intracranial and intraspinal phlebitis and thrombophlebitis)
131011-0.0,Source of report of G09 (sequelae of inflammatory diseases of central nervous system)
131013-0.0,Source of report of G10 (huntington's disease)
131015-0.0,Source of report of G11 (hereditary ataxia)
131017-0.0,Source of report of G12 (spinal muscular atrophy and related syndromes)
131019-0.0,Source of report of G13 (systemic atrophies primarily affecting central nervous system in diseases classified elsewhere)
131021-0.0,Source of report of G14 (postpolio syndrome)
131023-0.0,Source of report of G20 (parkinson's disease)
131025-0.0,Source of report of G21 (secondary parkinsonism)
131027-0.0,Source of report of G22 (parkinsonism in diseases classified elsewhere)
131029-0.0,Source of report of G23 (other degenerative diseases of basal ganglia)
131031-0.0,Source of report of G24 (dystonia)
131033-0.0,Source of report of G25 (other extrapyramidal and movement disorders)
131037-0.0,Source of report of G30 (alzheimer's disease)
131039-0.0,"Source of report of G31 (other degenerative diseases of nervous system, not elsewhere classified)"
131041-0.0,Source of report of G32 (other degenerative disorders of nervous system in diseases classified elsewhere)
131043-0.0,Source of report of G35 (multiple sclerosis)
131045-0.0,Source of report of G36 (other acute disseminated demyelination)
131047-0.0,Source of report of G37 (other demyelinating diseases of central nervous system)
131049-0.0,Source of report of G40 (epilepsy)
131051-0.0,Source of report of G41 (status epilepticus)
131053-0.0,Source of report of G43 (migraine)
131055-0.0,Source of report of G44 (other headache syndromes)
131057-0.0,Source of report of G45 (transient cerebral ischaemic attacks and related syndromes)
131059-0.0,Source of report of G46 (vascular syndromes of brain in cerebrovascular diseases)
131061-0.0,Source of report of G47 (sleep disorders)
131063-0.0,Source of report of G50 (disorders of trigeminal nerve)
131065-0.0,Source of report of G51 (facial nerve disorders)
131067-0.0,Source of report of G52 (disorders of other cranial nerves)
131069-0.0,Source of report of G53 (cranial nerve disorders in diseases classified elsewhere)
131071-0.0,Source of report of G54 (nerve root and plexus disorders)
131073-0.0,Source of report of G55 (nerve root and plexus compressions in diseases classified elsewhere)
131075-0.0,Source of report of G56 (mononeuropathies of upper limb)
131077-0.0,Source of report of G57 (mononeuropathies of lower limb)
131079-0.0,Source of report of G58 (other mononeuropathies)
131081-0.0,Source of report of G59 (mononeuropathy in diseases classified elsewhere)
131083-0.0,Source of report of G60 (hereditary and idiopathic neuropathy)
131085-0.0,Source of report of G61 (inflammatory polyneuropathy)
131087-0.0,Source of report of G62 (other polyneuropathies)
131089-0.0,Source of report of G63 (polyneuropathy in diseases classified elsewhere)
131091-0.0,Source of report of G64 (other disorders of peripheral nervous system)
131093-0.0,Source of report of G70 (myasthenia gravis and other myoneural disorders)
131095-0.0,Source of report of G71 (primary disorders of muscles)
131097-0.0,Source of report of G72 (other myopathies)
131099-0.0,Source of report of G73 (disorders of myoneural junction and muscle in diseases classified elsewhere)
131101-0.0,Source of report of G80 (infantile cerebral palsy)
131103-0.0,Source of report of G81 (hemiplegia)
131105-0.0,Source of report of G82 (paraplegia and tetraplegia)
131107-0.0,Source of report of G83 (other paralytic syndromes)
131109-0.0,Source of report of G90 (disorders of autonomic nervous system)
131111-0.0,Source of report of G91 (hydrocephalus)
131113-0.0,Source of report of G92 (toxic encephalopathy)
131115-0.0,Source of report of G93 (other disorders of brain)
131117-0.0,Source of report of G94 (other disorders of brain in diseases classified elsewhere)
131119-0.0,Source of report of G95 (other diseases of spinal cord)
131121-0.0,Source of report of G96 (other disorders of central nervous system)
131123-0.0,"Source of report of G97 (postprocedural disorders of nervous system, not elsewhere classified)"
131125-0.0,"Source of report of G98 (other disorders of nervous system, not elsewhere classified)"
131127-0.0,Source of report of G99 (other disorders of nervous system in diseases classified elsewhere)
131129-0.0,Source of report of H00 (hordeolum and chalazion)
131131-0.0,Source of report of H01 (other inflammation of eyelid)
131133-0.0,Source of report of H02 (other disorders of eyelid)
131135-0.0,Source of report of H03 (disorders of eyelid in diseases classified elsewhere)
131137-0.0,Source of report of H04 (disorders of lachrymal system)
131139-0.0,Source of report of H05 (disorders of orbit)
131141-0.0,Source of report of H06 (disorders of lachrymal system and orbit in diseases classified elsewhere)
131143-0.0,Source of report of H10 (conjunctivitis)
131145-0.0,Source of report of H11 (other disorders of conjunctiva)
131147-0.0,Source of report of H13 (disorders of conjunctiva in diseases classified elsewhere)
131149-0.0,Source of report of H15 (disorders of sclera)
131151-0.0,Source of report of H16 (keratitis)
131153-0.0,Source of report of H17 (corneal scars and opacities)
131155-0.0,Source of report of H18 (other disorders of cornea)
131157-0.0,Source of report of H19 (disorders of sclera and cornea in diseases classified elsewhere)
131159-0.0,Source of report of H20 (iridocyclitis)
131161-0.0,Source of report of H21 (other disorders of iris and ciliary body)
131163-0.0,Source of report of H22 (disorders of iris and ciliary body in diseases classified elsewhere)
131165-0.0,Source of report of H25 (senile cataract)
131167-0.0,Source of report of H26 (other cataract)
131169-0.0,Source of report of H27 (other disorders of lens)
131171-0.0,Source of report of H28 (cataract and other disorders of lens in diseases classified elsewhere)
131173-0.0,Source of report of H30 (chorioretinal inflammation)
131175-0.0,Source of report of H31 (other disorders of choroid)
131177-0.0,Source of report of H32 (chorioretinal disorders in diseases classified elsewhere)
131179-0.0,Source of report of H33 (retinal detachments and breaks)
131181-0.0,Source of report of H34 (retinal vascular occlusions)
131183-0.0,Source of report of H35 (other retinal disorders)
131185-0.0,Source of report of H36 (retinal disorders in diseases classified elsewhere)
131187-0.0,Source of report of H40 (glaucoma)
131189-0.0,Source of report of H42 (glaucoma in diseases classified elsewhere)
131191-0.0,Source of report of H43 (disorders of vitreous body)
131193-0.0,Source of report of H44 (disorders of globe)
131195-0.0,Source of report of H45 (disorders of vitreous body and globe in diseases classified elsewhere)
131197-0.0,Source of report of H46 (optic neuritis)
131199-0.0,Source of report of H47 (other disorders of optic [2nd] nerve and visual pathways)
131201-0.0,Source of report of H48 (disorders of optic [2nd] nerve and visual pathways in diseases classified elsewhere)
131203-0.0,Source of report of H49 (paralytic strabismus)
131205-0.0,Source of report of H50 (other strabismus)
131207-0.0,Source of report of H51 (other disorders of binocular movement)
131209-0.0,Source of report of H52 (disorders of refraction and accommodation)
131211-0.0,Source of report of H53 (visual disturbances)
131213-0.0,Source of report of H54 (blindness and low vision)
131215-0.0,Source of report of H55 (nystagmus and other irregular eye movements)
131217-0.0,Source of report of H57 (other disorders of eye and adnexa)
131219-0.0,Source of report of H58 (other disorders of eye and adnexa in diseases classified elsewhere)
131221-0.0,"Source of report of H59 (postprocedural disorders of eye and adnexa, not elsewhere classified)"
131223-0.0,Source of report of H60 (otitis externa)
131225-0.0,Source of report of H61 (other disorders of external ear)
131227-0.0,Source of report of H62 (disorders of external ear in diseases classified elsewhere)
131229-0.0,Source of report of H65 (nonsuppurative otitis media)
131231-0.0,Source of report of H66 (suppurative and unspecified otitis media)
